CAR_NAME,MODEL,NO_OF_YEARS,DEALER,MILES_DRIVEN,RATE,NO_OF_REVIEWS,PRICE
Audi Q7 3.0T Premium Plus,2018,3,Audi Orland Park,35627,4.8,799,43995
Audi A6 55 Premium Plus,2019,2,Volvo Cars Lisle,30586,4.3,6,44595
Audi A4 2.0T Premium,2014,7,Napleton Off Lease,81358,4.4,569,17900
Audi A5 2.0T Premium,2011,10,Exotic Motors,57197,4.4,1597,19900
Audi Q5 2.0T Premium Plus,2016,5,Bob Rohrman Schaumburg Kia,25773,4.8,151,29273
Audi A5 2.0T Premium,2014,7,Fox Valley Volkswagen Schaumburg,64047,4.6,1943,21990
Audi A3 2.0T Premium,2019,2,Thomas Dodge Chrysler Jeep RAM of Highland,33281,4.6,1943,32000
Audi A6 3.0T Premium Plus quattro,2013,8,Schaumburg Honda Automobiles,67302,4.3,213,20500
Audi A5 2.0T Premium,2011,10,Car City Inc,97074,4.7,1465,14490
Audi A4 2.0T Premium,2017,4,Schaumburg Toyota,45115,4.8,870,26988
Audi A5 2.0T Premium Plus,2018,3,Audi Naperville,15759,4.8,870,37991
Audi A5 2.0T Premium Plus,2018,3,Audi Naperville,13547,4.7,1943,40991
Audi Q8 55 Premium,2019,0,Audi Hoffman Estates,8236,4.8,870,52999
Audi A8 L 55,2019,2,Audi Naperville,10701,4.8,870,52999
Audi A4 2.0T Premium,2017,4,Audi Naperville,37965,4.7,1943,27891
Audi Q5 2.0T Premium,2018,3,Audi Hoffman Estates,81901,4.8,870,26880
Audi Q5 2.0T Premium Plus,2016,5,Audi Naperville,34135,4.7,1943,28991
Audi Q7 3.0T Premium Plus,2018,3,Audi Hoffman Estates,43533,4.8,870,45880
Audi A4 2.0T Premium Plus,2019,2,Audi Naperville,32316,4.8,870,37971
Audi Q3 2.0T Premium Plus,2018,3,Audi Naperville,14443,4.8,870,33841
Audi A5 2.0T Prestige,2018,3,Audi Naperville,35450,4.6,111,39991
Audi A4 2.0T Premium,2017,4,Napleton Mazda of Naperville,19063,4.8,870,27000
Audi Q5 2.0T Tech Premium,2018,3,Audi Naperville,44463,4.8,870,39741
Audi A4 2.0T Premium Plus,2019,2,Audi Naperville,22660,4.8,870,39491
Audi S5 3.0T Premium Plus quattro,2014,7,Audi Naperville,57763,4.8,870,31991
Audi Q8 3.0T Premium Plus,2019,2,Audi Naperville,23626,4.7,1663,52999
Audi A3 2.0T Premium,2018,3,Elgin Toyota,33589,4.5,44,26990
Audi A4 2.0T Premium quattro,2010,11,Luxury Car Outlet,88090,4.8,654,11995
Audi A3 2.0T Premium,2018,3,The Audi Exchange,19722,4.2,216,29587
Audi RS 5 2.9T,2019,2,Porsche Downtown Chicago,17501,4.4,576,52999
Audi A4 2.0T Premium Plus,2019,2,Toyota of Lincoln Park,7799,4.4,123,36816
Audi SQ5 3.0T Premium Plus,2018,3,Perillo BMW,17773,4.4,576,47888
Audi Q5 2.0T Premium Plus,2018,3,McGrath Acura of Chicago,28082,4.8,1048,36350
Audi A4 2.0T Premium Plus,2019,2,Perillo BMW,55476,4.8,1048,29999
Audi Q5 45 Titanium Premium,2019,1,Fletcher Jones Audi,11501,4.7,159,46291
Audi Q8 55 Premium,2019,1,Fletcher Jones Audi,2190,4.8,949,52999
Audi A4 2.0T Premium Plus quattro,2013,8,"Howard Orloff Jaguar, Volvo Cars, Land Rover",54996,4.5,40,18995
Audi A4 2.0T Premium,2017,4,McGrath City Mazda,40968,4.7,17,27320
Audi Q7 3.0T Premium Plus,2013,8,Zeigler Pre-Owned of Chicago,97074,4.7,989,14950
Audi Q5 2.0T Premium Plus,2018,3,North City Honda,43611,4.7,156,33909
Audi Q8 3.0T Premium Plus,2019,2,Zeigler Cadillac of Lincolnwood,50235,4.6,44,52999
Audi S5 3.0T Premium Plus quattro,2014,7,Driven Auto Sales,67172,4.1,1943,29980
Audi A4 2.0T Premium,2017,4,Sherman Dodge Chrysler Jeep RAM,26428,4.6,1943,26351
Audi A5 2.0T Premium Plus quattro,2012,9,Sherman Dodge Chrysler Jeep RAM,84441,4.2,361,15356
Audi Q7 3.0T Premium Plus,2017,4,Hawk Ford of Oak Lawn,75953,4.8,1249,34998
Audi Q5 45 Premium,2019,1,Audi Morton Grove,11509,4.2,361,45999
Audi Q5 2.0T Premium Plus,2019,2,Jack Phelan Chrysler Dodge Jeep RAM,15849,4.2,361,42990
Audi S7 4.0T Premium Plus,2017,4,Audi Morton Grove,33676,4.2,361,52999
Audi S6 2.9T Premium Plus,2019,1,Audi Morton Grove,6291,4.2,361,52999
Audi Q8 3.0T Premium,2019,2,Audi Morton Grove,16439,4.6,1943,52999
Audi Q8 3.0T Premium,2019,2,Audi Morton Grove,21569,4.2,361,52999
Audi A5 2.0T Premium,2012,9,Advantage Chevrolet,30417,4.2,361,16971
Audi S6 2.9T Premium Plus,2019,1,Audi Morton Grove,11613,4.7,1473,52999
Audi A8 L 55,2019,2,Audi Morton Grove,18912,4.2,361,52999
Audi S4 3.0T Premium Plus,2019,2,Ed Napleton Honda,43503,4.2,361,43500
Audi Q3 2.0T Premium Plus,2019,1,Audi Morton Grove,10172,4.1,119,39999
Audi S5 3.0T Premium Plus,2016,5,SJL Motors,67587,4.6,638,29985
Audi A6 2.0T Premium quattro,2015,6,Chicago Auto Place,70894,4.8,345,24888
Audi Q5 2.0T Premium Plus,2019,2,McGrath Acura in Morton Grove,23914,4.1,60,39999
Audi SQ5 3.0T Premium Plus,2017,4,Jaguar Land Rover Hinsdale,21387,4.6,322,43397
Audi A4 2.0T Avant quattro Premium,2010,11,Coda Motors,97074,4.5,67,9980
Audi Q3 2.0T Premium,2018,3,Highline Auto Sales,92171,4.8,179,21995
Audi Q7 3.0T Premium Plus,2017,4,Adam Auto Group,97074,4.7,603,30995
Audi A4 2.0T Premium quattro,2010,11,Champion Motorsports,97074,4.7,603,9900
Audi Q5 2.0T Premium,2018,3,Audi Westmont,68652,4.7,524,29397
Audi Q5 2.0T Tech Premium,2018,3,Audi Westmont,33401,4.7,603,32710
Audi Q7 3.0T Prestige,2018,3,Mercedes-Benz of Westmont,43206,4.7,603,46000
Audi Q7 3.0T Prestige,2018,3,Audi Westmont,42418,4.7,603,47305
Audi R8 5.2 V10,2018,3,Audi Westmont,1636,4.5,55,52999
Audi A4 quattro,2009,12,United Auto Exchange,74197,4.5,55,11895
Audi A8 4.2L,2009,12,Chicago Motors Direct,97074,4.8,695,13850
Audi A3 2.0T Premium,2015,6,United Auto Exchange,77784,4.3,186,17895
Audi A5 2.0T Premium Plus,2014,7,Star Motor Sales,82138,4.3,6,19987
Audi Q7 2.0T Premium Plus,2017,4,Auto's of Chicago,34803,4.3,6,39655
Audi Q5 3.2 Premium Plus,2012,9,Star Auto Works,78601,4.6,73,17986
Audi RS 5 4.2,2014,7,Star Auto Works,70926,4.7,139,36500
Audi Q8 3.0T Premium,2019,2,Perillo Downers Grove,7548,4.8,695,52999
Audi Q3 2.0T Prestige,2015,6,Ultimate Motor Cars,83297,4.7,693,21000
Audi Q8 55 Prestige,2019,1,Napleton Aston Martin Maserati,10172,4.7,693,52999
Audi S7 4.0T Prestige quattro,2013,8,Auto's of Chicago,84196,4.8,654,33855
Audi Q8 3.0T Premium,2019,2,Napleton Aston Martin Maserati,23987,4.5,388,52999
Audi Q3 2.0T Premium Plus,2018,3,The Audi Exchange,83780,4.8,654,25187
Audi Q5 3.2 Premium Plus,2012,9,M & I Motors,73421,4.7,1498,18500
